,Singer,Song,Days at list,Peak,Days at peak,Streams today,Diff streams from yesterday
1,Miley Cyrus,Flowers,71,1,(x62),"7,285,642","+229,948"
2,Jimin,Like Crazy (English Version),1,2,(x1),"6,634,838",
3,KAROL G,TQG,29,1,(x6),"6,297,473","+373,112"
4,SZA,Kill Bill,106,1,(x20),"5,607,467","+178,449"
5,ROSALÍA,BESO,1,5,,"5,095,570",
6,PinkPantheress,Boy's a liar Pt. 2,48,3,(x6),"4,931,703","+239,847"
7,The Weeknd,Die For You,11,3,(x2),"4,436,476","-155,427"
8,Jimin,Set Me Free Pt.2,8,6,,"4,352,090","+1,856,581"
9,Harry Styles,As It Was,359,1,(x81),"4,187,059","+159,007"
10,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",72,1,(x3),"4,172,354","+285,870"
11,Yandel,Yandel 150,80,7,,"4,033,584","+242,873"
12,Metro Boomin,Creepin',113,1,(x3),"3,990,757","+171,046"
13,Eslabon Armado,Ella Baila Sola,8,8,,"3,852,142","+76,467"
14,Rema,Calm Down,211,8,,"3,676,281","+250,925"
15,Eladio Carrion,Coco Chanel,8,15,,"3,620,500","+693,578"
16,Bizarrap,"Arcángel: Bzrp Music Sessions, Vol. 54",2,6,,"3,556,321","-676,269"
17,Taylor Swift,All Of The Girls You Loved Before,8,4,,"3,480,913","+597,668"
18,Yng Lvcas,La Bebe - Remix,7,18,,"3,286,844","+803,619"
19,Taylor Swift,Anti-Hero,155,1,(x20),"3,188,345","+30,143"
20,Sam Smith,Unholy,184,1,(x49),"3,159,758","+63,381"
21,Manuel Turizo,La Bachata,266,3,(x3),"3,134,390","+169,665"
22,David Guetta,I'm Good (Blue),211,1,(x1),"3,128,423","+228,333"
23,Ed Sheeran,Eyes Closed,1,23,,"3,095,483",
24,The Weeknd,Die For You,449,9,,"2,944,059","+30,186"
25,Ozuna,Hey Mor,162,11,,"2,844,999","+131,338"
26,Morgan Wallen,Last Night,53,10,,"2,834,663","+123,199"
27,Peso Pluma,PRC,59,19,,"2,724,066","+88,179"
28,Natanael Cano,AMG,78,20,,"2,707,753","+134,249"
29,Stephen Sanchez,Until I Found You,112,6,,"2,698,645","+54,346"
30,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",261,1,(x55),"2,656,755","+186,182"
31,d4vd,Here With Me,149,13,,"2,635,596","+20,567"
32,Cartel De Santa,Shorty Party,20,10,,"2,573,958","-215,306"
33,RAYE,Escapism.,117,9,,"2,539,879","+63,774"
