,Singer,Song,Days
1,Jimin,Like Crazy,2
2,Miley Cyrus,Flowers,73
3,KAROL G,TQG,31
4,SZA,Kill Bill,108
5,PinkPantheress,Boy's a liar Pt. 2,50
6,The Weeknd,Die For You,13
7,ROSALÍA,BESO,3
8,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",74
9,Harry Styles,As It Was,361
10,Yng Lvcas,La Bebe - Remix,9
11,Eslabon Armado,Ella Baila Sola,10
12,Yandel,Yandel 150,82
13,Metro Boomin,Creepin',115
14,Eladio Carrion,Coco Chanel,10
15,Taylor Swift,All Of The Girls You Loved Before,10
16,Rema,Calm Down,213
17,Taylor Swift,Anti-Hero,157
18,Manuel Turizo,La Bachata,268
19,Peso Pluma,PRC,61
20,Natanael Cano,AMG,80
21,Sam Smith,Unholy,186
22,The Weeknd,Die For You,451
23,Jimin,Set Me Free Pt.2,10
24,d4vd,Here With Me,151
25,David Guetta,I'm Good (Blue),213
26,Morgan Wallen,Last Night,55
27,Stephen Sanchez,Until I Found You,114
28,Bizarrap,"Arcángel: Bzrp Music Sessions, Vol. 54",4
29,Ozuna,Hey Mor,164
30,The Weeknd,Starboy,1004
31,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",263
32,Cartel De Santa,Shorty Party,22
33,Arctic Monkeys,I Wanna Be Yours,263
34,JVKE,golden hour,216
35,Ed Sheeran,Eyes Closed,3
36,NewJeans,OMG,84
37,Tom Odell,Another Love,711
38,RAYE,Escapism.,119
39,OneRepublic,I Ain't Worried,295
40,Feid,Feliz Cumpleaños Ferxxo,219
41,Coi Leray,Players,67
42,Arcángel,La Jumpa,116
43,Oscar Maydon,Fin de Semana,73
44,SZA,Snooze,98
45,Junior H,El Azul,31
46,Eminem,Mockingbird,163
47,FIFTY FIFTY,Cupid - Twin Version,14
48,Lizzy McAlpine,ceilings,41
49,Chino Pacas,El Gordo Trae El Mando,43
50,Taiu,Rara Vez,31
51,Miguel,Sure Thing,103
52,LiL CaKe,MERCHO,58
53,Imagine Dragons,Bones,381
54,Fuerza Regida,Ch y la Pizza,61
55,Feid,CHORRITO PA LAS ANIMAS,96
56,Bad Bunny,Me Porto Bonito,325
57,Fuerza Regida,Bebe Dame,89
58,d4vd,Romantic Homicide,204
59,TINI,Cupido,38
60,The Weeknd,Blinding Lights,1214
61,Carin Leon,Que Vuelvas,90
62,Lil Uzi Vert,Just Wanna Rock,160
63,The Neighbourhood,Sweater Weather,1029
64,AgroPlay,Nosso Quadro,37
65,The Kid LAROI,Stay,626
66,Chris Brown,Under The Influence,247
67,The Weeknd,Reminder,131
68,Libianca,People,75
69,NewJeans,Ditto,98
70,KAROL G,X SI VOLVEMOS,52
71,KAROL G,MIENTRAS ME CURO DEL CORA,31
72,Peso Pluma,Por las Noches,29
73,Quevedo,PUNTO G,143
74,Zé Felipe,Vacilão,4
75,Chino Pacas,Dijeron Que No La Iba Lograr,10
76,Drake,Rich Flex,143
77,Marshmello,El Merengue,23
78,Marília Mendonça,Leão,84
79,Bad Bunny,Ojitos Lindos,325
80,Glass Animals,Heat Waves,827
81,Steve Lacy,Bad Habit,263
82,Feid,Normal,236
